Normalised_Label	Term1_ID	Term1_Label	Term1_Branch	Term2_ID	Term2_Label	Term2_Branch
1palmitoyl2palmitoleoylgpc(16:0/16:1)measurement	EFO:0022084	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1) measurement	Other	EFO:0800406	1-palmitoyl-2-palmitoleoyl-GPC(16:0/16:1) measurement	Other
3indoxylsulfatemeasurement	EFO:0010985	3-Indoxylsulfate measurement	Other	EFO:0022088	3-indoxyl sulfate measurement	Other
3msyndrome	MONDO:0007477	3-M syndrome	Disease	Orphanet:2616	3M syndrome	Disease
3phosphoglycericacid	CHEBI:17050	3-phosphoglyceric acid	Other	EFO:0010450	3-phosphoglyceric acid	Other
acidosis	EFO:1000014	acidosis	Disease	HP:0001941	Acidosis	Phenotype
acrocardiofacialsyndrome	MONDO:0010890	acrocardiofacial syndrome	Disease	Orphanet:2008	Acro-cardio-facial syndrome	Disease
acrofrontofacionasaldysostosis	MONDO:0008715	acrofrontofacionasal dysostosis	Disease	Orphanet:1784	Acro-fronto-facio-nasal dysostosis	Disease
acrootoocularsyndrome	MONDO:0009920	Acrootoocular syndrome	Disease	Orphanet:2980	Acro-oto-ocular syndrome	Disease
acropectoralsyndrome	MONDO:0011621	acropectoral syndrome	Disease	Orphanet:85203	Acro-pectoral syndrome	Disease
acropectororenaldysplasia	MONDO:0019840	acropectororenal dysplasia	Disease	Orphanet:956	Acro-pectoro-renal dysplasia	Disease
actionmyoclonusrenalfailuresyndrome	MONDO:0009699	action myoclonus-renal failure syndrome	Disease	Orphanet:163696	Action myoclonus - renal failure syndrome	Disease
acutekidneyinjury	HP:0001919	Acute kidney injury	Phenotype	MONDO:0002492	acute kidney injury	Disease
acutemonocyticleukemia	EFO:0000221	acute monocytic leukemia	Disease	HP:0004845	Acute monocytic leukemia	Phenotype
acutepancreatitis	EFO:1000652	acute pancreatitis	Disease	HP:0001735	Acute pancreatitis	Phenotype
adamdec1(human)	PR:O15204	ADAM DEC1 (human)	Other	gene:symbol:report?hgnc:id=16299	ADAMDEC1 (human)	Other
adipicacidmeasurement	EFO:0010455	adipic acid measurement	Other	EFO:0021575	Adipic acid measurement	Other
adnprelatedmultiplecongenitalanomaliesintellectualdisabilityautismspectrumdisorder	MONDO:0014379	ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder	Disease	Orphanet:404448	ADNP-related multiple congenital anomalies-intellectual disability-autism spectrum disorder	Disease
aggressivebehavior	EFO:0003015	aggressive behavior	Other	HP:0000718	Aggressive behavior	Phenotype
akirin2(human)	PR:Q53H80	akirin-2 (human)	Other	gene:symbol:report?hgnc:id=21407	AKIRIN2 (human)	Other
albinism	HP:0001022	Albinism	Phenotype	MONDO:0043209	albinism	Disease
alopecia	HP:0001596	Alopecia	Phenotype	MONDO:0004907	alopecia	Disease
alopeciacontracturesdwarfismintellectualdisabilitysyndrome	MONDO:0008754	alopecia - contractures - dwarfism - intellectual disability syndrome	Disease	Orphanet:1005	Alopecia-contractures-dwarfism-intellectual disability syndrome	Disease
alopeciaintellectualdisabilitysyndrome	MONDO:0008756	alopecia - intellectual disability syndrome	Disease	Orphanet:2850	Alopecia-intellectual disability syndrome	Disease
alpha1antitrypsindeficiency	MONDO:0013282	alpha 1-antitrypsin deficiency	Disease	Orphanet:60	Alpha-1-antitrypsin deficiency	Disease
alphathalassemiamyelodysplasticsyndrome	MONDO:0010328	alpha-thalassemia-myelodysplastic syndrome	Disease	Orphanet:231401	Alpha-thalassemia - myelodysplastic syndrome	Disease
alphathalassemiaxlinkedintellectualdisabilitysyndrome	MONDO:0010519	alpha thalassemia-X-linked intellectual disability syndrome	Disease	Orphanet:847	Alpha-thalassemia - X-linked intellectual disability syndrome	Disease
amblyopia	HP:0000646	Amblyopia	Phenotype	MONDO:0001020	amblyopia	Disease
amelocerebrohypohidroticsyndrome	MONDO:0009185	amelocerebrohypohidrotic syndrome	Disease	Orphanet:1946	Amelo-cerebro-hypohidrotic syndrome	Disease
ameloonychohypohidroticsyndrome	MONDO:0007095	ameloonychohypohidrotic syndrome	Disease	Orphanet:1028	Amelo-onycho-hypohidrotic syndrome	Disease
amyotrophiclateralsclerosis	HP:0007354	Amyotrophic lateral sclerosis	Phenotype	MONDO:0004976	amyotrophic lateral sclerosis	Disease
anemia	HP:0001903	Anemia	Phenotype	MONDO:0002280	anemia	Disease
aneurysmosteoarthritissyndrome	MONDO:0013426	aneurysm-osteoarthritis syndrome	Disease	Orphanet:284984	Aneurysm - osteoarthritis syndrome	Disease
anhidrosis	EFO:1000670	anhidrosis	Disease	HP:0000970	Anhidrosis	Phenotype
aniridia	HP:0000526	Aniridia	Phenotype	MONDO:0019172	aniridia	Disease
aniridiaintellectualdisabilitysyndrome	MONDO:0015199	aniridia - intellectual disability syndrome	Disease	Orphanet:1068	Aniridia-intellectual disability syndrome	Disease
aorticvalvestenosis	HP:0001650	Aortic valve stenosis	Phenotype	MONDO:0042981	aortic valve stenosis	Disease
aplasticanemia	HP:0001915	Aplastic anemia	Phenotype	MONDO:0015909	aplastic anemia	Disease
arterialocclusion	HP:0025324	Arterial occlusion	Phenotype	MONDO:0020673	arterial occlusion	Disease
arthritis	EFO:0005856	arthritis	Disease	HP:0001369	Arthritis	Phenotype
asthma	HP:0002099	Asthma	Phenotype	MONDO:0004979	asthma	Disease
ataxiadeafnessintellectualdisabilitysyndrome	MONDO:0008838	ataxia - deafness - intellectual disability syndrome	Disease	Orphanet:1188	Ataxia-deafness-intellectual disability syndrome	Disease
ataxiaintellectualdisabilityoculomotorapraxiacerebellarcystssyndrome	MONDO:0014419	ataxia - intellectual disability - oculomotor apraxia - cerebellar cysts syndrome	Disease	Orphanet:370022	Ataxia-intellectual disability-oculomotor apraxia-cerebellar cysts syndrome	Disease
ataxiatelangiectasia	MONDO:0008840	ataxia telangiectasia	Disease	Orphanet:100	Ataxia-telangiectasia	Disease
ataxiatelangiectasiavariant	MONDO:0018266	ataxia - telangiectasia variant	Disease	Orphanet:370109	Ataxia-telangiectasia variant	Disease
atrialstandstill	MONDO:0015281	atrial standstill	Disease	Orphanet:1344	Atrial stand still	Disease
atypicalhypotoniacystinuriasyndrome	MONDO:0016539	atypical hypotonia-cystinuria syndrome	Disease	Orphanet:238523	Atypical hypotonia - cystinuria syndrome	Disease
autism	EFO:0003758	autism	Disease	HP:0000717	Autism	Phenotype
autismspectrumdisorderepilepsyarthrogryposissyndrome	MONDO:0014248	autism spectrum disorder - epilepsy - arthrogryposis syndrome	Disease	Orphanet:370943	Autism spectrum disorder-epilepsy-arthrogryposis syndrome	Disease
autoimmuneenteropathyandendocrinopathysusceptibilitytochronicinfectionssyndrome	MONDO:0013599	autoimmune enteropathy and endocrinopathy - susceptibility to chronic infections syndrome	Disease	Orphanet:391487	Autoimmune enteropathy and endocrinopathy-susceptibility to chronic infections syndrome	Disease
autosomaldominantdeafnessonychodystrophysyndrome	MONDO:0007420	autosomal dominant deafness - onychodystrophy syndrome	Disease	Orphanet:79499	Autosomal dominant deafness-onychodystrophy syndrome	Disease
autosomalrecessivecerebellarataxiaepilepsyintellectualdisabilitysyndrome	MONDO:0018446	autosomal recessive cerebellar ataxia - epilepsy - intellectual disability syndrome	Disease	Orphanet:404481	Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome	Disease
autosomalrecessivecerebellarataxiapyramidalsignsnystagmusoculomotorapraxiasyndrome	MONDO:0018189	autosomal recessive cerebellar ataxia - pyramidal signs - nystagmus - oculomotor apraxia syndrome	Disease	Orphanet:363429	Autosomal recessive cerebellar ataxia-pyramidal signs-nystagmus-oculomotor apraxia syndrome	Disease
autosomalrecessivefaciodigitogenitalsyndrome	MONDO:0009209	autosomal recessive faciodigitogenital syndrome	Disease	Orphanet:1974	Autosomal recessive facio-digito-genital syndrome	Disease
avascularnecrosis	HP:0010885	Avascular necrosis	Phenotype	MONDO:0018373	avascular necrosis	Disease
axin1(human)	PR:O15169	Axin-1 (human)	Other	gene:symbol:report?hgnc:id=903	AXIN1 (human)	Other
axin2(human)	PR:Q9Y2T1	Axin-2 (human)	Other	gene:symbol:report?hgnc:id=904	AXIN2 (human)	Other
azoospermia	EFO:0000279	azoospermia	Disease	HP:0000027	Azoospermia	Phenotype
bcl2likeprotein2(human)	PR:000036332	Bcl-2-like protein 2 (human)	Other	PR:Q92843	bcl-2-like protein 2 (human)	Other
beta2microglobulinmeasurement	EFO:0005197	beta-2 microglobulin measurement	Other	EFO:0020180	beta-2-microglobulin measurement	Other
betathalassemia	MONDO:0019402	beta thalassemia	Disease	Orphanet:848	Beta-thalassemia	Disease
biliaryatresia	HP:0005912	Biliary atresia	Phenotype	MONDO:0008867	biliary atresia	Disease
bladderdiverticulum	HP:0000015	Bladder diverticulum	Phenotype	MONDO:0007197	bladder diverticulum	Disease
blepharophimosisintellectualdisabilitysyndrome	MONDO:0017393	blepharophimosis - intellectual disability syndrome	Disease	Orphanet:293642	Blepharophimosis-intellectual disability syndrome	Disease
blepharophimosisintellectualdisabilitysyndrome,mkbtype	MONDO:0010477	blepharophimosis - intellectual disability syndrome, MKB type	Disease	Orphanet:293707	Blepharophimosis-intellectual disability syndrome, MKB type	Disease
blepharophimosisintellectualdisabilitysyndrome,ohdotype	MONDO:0009583	blepharophimosis - intellectual disability syndrome, Ohdo type	Disease	Orphanet:2728	Blepharophimosis-intellectual disability syndrome, Ohdo type	Disease
blepharophimosisintellectualdisabilitysyndrome,sbbystype	MONDO:0011365	blepharophimosis - intellectual disability syndrome, SBBYS type	Disease	Orphanet:3047	Blepharophimosis-intellectual disability syndrome, SBBYS type	Disease
blepharophimosisintellectualdisabilitysyndrome,verloestype	MONDO:0011432	blepharophimosis - intellectual disability syndrome, Verloes type	Disease	Orphanet:293725	Blepharophimosis-intellectual disability syndrome, Verloes type	Disease
blindnessscoliosisarachnodactylysyndrome	MONDO:0012907	blindness - scoliosis - arachnodactyly syndrome	Disease	Orphanet:171844	Blindness-scoliosis-arachnodactyly syndrome	Disease
brachydactyly	HP:0001156	Brachydactyly	Phenotype	MONDO:0021004	brachydactyly	Disease
brachytelephalangydysmorphismkallmannsyndrome	MONDO:0007231	brachytelephalangy-dysmorphism-Kallmann syndrome	Disease	Orphanet:1295	Brachytelephalangy - dysmorphism - Kallmann syndrome	Disease
brainstemglioblastoma	EFO:1000141	Brain Stem Glioblastoma	Disease	MONDO:1060180	brain stem glioblastoma	Disease
branchiooculofacialsyndrome	MONDO:0007235	branchiooculofacial syndrome	Disease	Orphanet:1297	Branchio-oculo-facial syndrome	Disease
branchiooticsyndrome	MONDO:0018878	branchiootic syndrome	Disease	Orphanet:52429	Branchio-otic syndrome	Disease
bronchiectasis	HP:0002110	Bronchiectasis	Phenotype	MONDO:0004822	bronchiectasis	Disease
bronchiolitis	HP:0011950	Bronchiolitis	Phenotype	MONDO:0002465	bronchiolitis	Disease
capseq	EFO:0008671	CAP-seq	Other	EFO:0008673	CapSeq	Other
cardiacanomaliesdevelopmentaldelayfacialdysmorphismsyndrome	MONDO:0014773	cardiac anomalies - developmental delay - facial dysmorphism syndrome	Disease	Orphanet:369891	Cardiac anomalies-developmental delay-facial dysmorphism syndrome	Disease
careyfinemanzitersyndrome	MONDO:0031415	Carey-Fineman-Ziter syndrome	Disease	Orphanet:1358	Carey-Fineman-Ziter  syndrome	Disease
carneycomplextrismuspseudocamptodactylysyndrome	MONDO:0012137	Carney complex - trismus - pseudocamptodactyly syndrome	Disease	Orphanet:319340	Carney complex-trismus-pseudocamptodactyly syndrome	Disease
cataract	HP:0000518	Cataract	Phenotype	MONDO:0005129	cataract	Disease
cataractcongenitalheartdiseaseneuraltubedefectsyndrome	MONDO:0011995	cataract - congenital heart disease - neural tube defect syndrome	Disease	Orphanet:314993	Cataract-congenital heart disease-neural tube defect syndrome	Disease
cataractmicrocorneasyndrome	MONDO:0015300	cataract - microcornea syndrome	Disease	Orphanet:1377	Cataract-microcornea syndrome	Disease
cellulitis	EFO:0003035	cellulitis	Disease	HP:0100658	Cellulitis	Phenotype
cerebrocostomandibularsyndrome	MONDO:0007301	cerebrocostomandibular syndrome	Disease	Orphanet:1393	Cerebro-costo-mandibular syndrome	Disease
cerebrooculonasalsyndrome	MONDO:0011575	cerebrooculonasal syndrome	Disease	Orphanet:66625	Cerebro-oculo-nasal syndrome	Disease
cerebrorenodigitalsyndrome	MONDO:0012257	Cerebrorenodigital syndrome	Disease	Orphanet:1396	Cerebro-reno-digital syndrome	Disease
cervicalpolyp	EFO:0009475	cervical polyp	Disease	HP:0030159	Cervical polyp	Phenotype
cervicitis	HP:0030160	Cervicitis	Phenotype	MONDO:0002345	cervicitis	Disease
cheilitis	HP:0100825	Cheilitis	Phenotype	MONDO:0002102	cheilitis	Disease
cholangitis	HP:0030151	Cholangitis	Phenotype	MONDO:0004789	cholangitis	Disease
cholestasis	HP:0001396	Cholestasis	Phenotype	MONDO:0001751	cholestasis	Disease
chondrocalcinosis	HP:0000934	Chondrocalcinosis	Phenotype	MONDO:0001314	chondrocalcinosis	Disease
chordoma	HP:0010762	Chordoma	Phenotype	MONDO:0008978	chordoma	Disease
chorea	EFO:0004152	chorea	Disease	HP:0002072	Chorea	Phenotype
chorioretinitis	HP:0012424	Chorioretinitis	Phenotype	MONDO:0004674	chorioretinitis	Disease
chronicrhinitis	HP:0002257	Chronic rhinitis	Phenotype	MONDO:0004514	chronic rhinitis	Disease
cirrhosisdystoniapolycythemiahypermanganesemiasyndrome	MONDO:0013208	cirrhosis - dystonia - polycythemia - hypermanganesemia syndrome	Disease	Orphanet:309854	Cirrhosis-dystonia-polycythemia-hypermanganesemia syndrome	Disease
cleftpalate	HP:0000175	Cleft palate	Phenotype	MONDO:0016064	cleft palate	Disease
coldinducedsweatingsyndromehyperthermiaspectrum	MONDO:0018431	cold-induced sweating syndrome - hyperthermia spectrum	Disease	Orphanet:401993	Cold-induced sweating syndrome-hyperthermia spectrum	Disease
colobomatousmicrophthalmiaobesityhypogenitalismintellectualdisabilitysyndrome	MONDO:0011145	colobomatous microphthalmia - obesity - hypogenitalism - intellectual disability syndrome	Disease	Orphanet:363741	Colobomatous microphthalmia-obesity-hypogenitalism-intellectual disability syndrome	Disease
combinedimmunodeficiency	HP:0005387	Combined immunodeficiency	Phenotype	MONDO:0015131	combined immunodeficiency	Disease
combinedimmunodeficiencywithfaciooculoskeletalanomalies	MONDO:0013226	combined immunodeficiency with faciooculoskeletal anomalies	Disease	Orphanet:221139	Combined immunodeficiency with facio-oculo-skeletal anomalies	Disease
conedystrophy	HP:0008020	Cone dystrophy	Phenotype	MONDO:0000455	cone dystrophy	Disease
coneroddystrophy	MONDO:0015993	cone-rod dystrophy	Disease	Orphanet:1872	Cone rod dystrophy	Disease
congenitalmicrocephalysevereencephalopathyprogressivecerebralatrophysyndrome	MONDO:0014258	congenital microcephaly - severe encephalopathy - progressive cerebral atrophy syndrome	Disease	Orphanet:391376	Congenital microcephaly-severe encephalopathy-progressive cerebral atrophy syndrome	Disease
congenitaltracheomalacia	MONDO:0019804	congenital tracheomalacia	Disease	Orphanet:95430	Congenital tracheomalacia	Disease
congestiveheartfailure	EFO:0000373	congestive heart failure	Disease	HP:0001635	Congestive heart failure	Phenotype
conjunctivitis	EFO:0009450	conjunctivitis	Disease	HP:0000509	Conjunctivitis	Phenotype
contractureswebbedneckmicrognathiahypoplasticnipplessyndrome	MONDO:0017788	contractures - webbed neck - micrognathia - hypoplastic nipples syndrome	Disease	Orphanet:314002	Contractures-webbed neck-micrognathia-hypoplastic nipples syndrome	Disease
corticaldysplasiafocalepilepsysyndrome	MONDO:0012400	cortical dysplasia-focal epilepsy syndrome	Disease	Orphanet:163681	Cortical dysplasia - focal epilepsy syndrome	Disease
coxavara	EFO:1001298	Coxa Vara	Disease	HP:0002812	Coxa vara	Phenotype
craniofacialdysplasiaosteopeniasyndrome	MONDO:0012634	craniofacial dysplasia - osteopenia syndrome	Disease	Orphanet:314555	Craniofacial dysplasia-osteopenia syndrome	Disease
ctypelectindomainfamily7memberameasurement	EFO:0020203	C-type lectin domain family 7 memberAmeasurement	Other	EFO:0802349	C-type lectin domain family 7 member A measurement	Other
cubdomaincontainingprotein1measurement	EFO:0010776	CUB domain containing protein 1 measurement	Other	EFO:0802432	CUB domain-containing protein 1 measurement	Other
curlyhairacralkeratodermacariessyndrome	MONDO:0011883	Curly hair - acral keratoderma - caries syndrome	Disease	Orphanet:307766	Curly hair-acral keratoderma-caries syndrome	Disease
cutislaxa	HP:0000973	Cutis laxa	Phenotype	MONDO:0016175	cutis laxa	Disease
cutislaxamarfanoidsyndrome	MONDO:0013574	cutis laxa - Marfanoid syndrome	Disease	Orphanet:171719	Cutis laxa-Marfanoid syndrome	Disease
ddimermeasurement	EFO:0004507	D dimer measurement	Other	EFO:0020313	d-dimer measurement	Other
deficiencyinanteriorpituitaryfunctionvariableimmunodeficiencysyndrome	MONDO:0017407	deficiency in anterior pituitary function - variable immunodeficiency syndrome	Disease	Orphanet:293978	Deficiency in anterior pituitary function-variable immunodeficiency syndrome	Disease
delirium	EFO:0009267	delirium	Disease	HP:0031258	Delirium	Phenotype
dementia	HP:0000726	Dementia	Phenotype	MONDO:0001627	dementia	Disease
dentatorubralpallidoluysianatrophy	MONDO:0007435	dentatorubral-pallidoluysian atrophy	Disease	Orphanet:101	Dentatorubral pallidoluysian atrophy	Disease
diabetesmellitus	EFO:0000400	diabetes mellitus	Disease	HP:0000819	Diabetes mellitus	Phenotype
diffusecerebralandcerebellaratrophyintractableseizuresprogressivemicrocephalysyndrome	MONDO:0014335	diffuse cerebral and cerebellar atrophy - intractable seizures - progressive microcephaly syndrome	Disease	Orphanet:404437	Diffuse cerebral and cerebellar atrophy-intractable seizures-progressive microcephaly syndrome	Disease
diffusepalmoplantarkeratodermaacrocyanosissyndrome	MONDO:0019489	diffuse palmoplantar keratoderma - acrocyanosis syndrome	Disease	Orphanet:86918	Diffuse palmoplantar keratoderma-acrocyanosis syndrome	Disease
dilatedcardiomyopathy	EFO:0000407	dilated cardiomyopathy	Disease	HP:0001644	Dilated cardiomyopathy	Phenotype
disorderofvitaminandnonproteincofactorabsorptionandtransport	MONDO:0017758	disorder of vitamin and non-protein cofactor absorption and transport	Disease	Orphanet:309827	Disorder of vitamin and non-protein cofactor absorption and transport	Disease
draxin(human)	PR:Q8NBI3	draxin (human)	Other	gene:symbol:report?hgnc:id=25054	DRAXIN (human)	Other
ectodermaldysplasiacutaneoussyndactylysyndrome	MONDO:0013313	ectodermal dysplasia-cutaneous syndactyly syndrome	Disease	Orphanet:247827	Ectodermal dysplasia - cutaneous syndactyly syndrome	Disease
ectodermaldysplasiasyndactylysyndrome	MONDO:0013311	ectodermal dysplasia-syndactyly syndrome	Disease	Orphanet:247820	Ectodermal dysplasia - syndactyly syndrome	Disease
edema	EFO:0009373	edema	Disease	HP:0000969	Edema	Phenotype
ellisvancreveldsyndrome	MONDO:0009162	Ellis-van Creveld syndrome	Disease	Orphanet:289	Ellis Van Creveld syndrome	Disease
emilin3(human)	PR:Q9NT22	EMILIN-3 (human)	Other	gene:symbol:report?hgnc:id=16123	EMILIN3 (human)	Other
endocarditis	EFO:0000465	endocarditis	Disease	HP:0100584	Endocarditis	Phenotype
epididymitis	HP:0000031	Epididymitis	Phenotype	MONDO:0004779	epididymitis	Disease
erlin1(human)	PR:O75477	erlin-1 (human)	Other	gene:symbol:report?hgnc:id=16947	ERLIN1 (human)	Other
esophagitis	HP:0100633	Esophagitis	Disease	MONDO:0001409	esophagitis	Disease
familialhyperprolactinemia	MONDO:0014250	familial hyperprolactinemia	Disease	Orphanet:397685	Familial  hyperprolactinemia	Disease
fasciitis	HP:0100537	Fasciitis	Phenotype	MONDO:0004830	fasciitis	Disease
fingerhyperphalangytoeanomaliesseverepectusexcavatumsyndrome	MONDO:0018249	finger hyperphalangy - toe anomalies - severe pectus excavatum syndrome	Disease	Orphanet:369979	Finger hyperphalangy-toe anomalies-severe pectus excavatum syndrome	Disease
fisheyedisease	MONDO:0007620	fish eye disease	Disease	Orphanet:79292	Fish-eye disease	Disease
focalepilepsyintellectualdisabilitycerebrocerebellarmalformation	MONDO:0018125	focal epilepsy-intellectual disability-cerebro-cerebellar malformation	Disease	Orphanet:352587	Focal epilepsy - intellectual disability - cerebro-cerebellar malformation	Disease
focalsegmentalglomerulosclerosis	EFO:0004236	focal segmental glomerulosclerosis	Disease	HP:0000097	Focal segmental glomerulosclerosis	Phenotype
fovealhypoplasiaopticnervedecussationdefectanteriorsegmentdysgenesissyndrome	MONDO:0012216	foveal hypoplasia - optic nerve decussation defect - anterior segment dysgenesis syndrome	Disease	Orphanet:397618	Foveal hypoplasia-optic nerve decussation defect-anterior segment dysgenesis syndrome	Disease
frontonasaldysplasiaseveremicrophthalmiaseverefacialcleftingsyndrome	MONDO:0013271	frontonasal dysplasia - severe microphthalmia - severe facial clefting syndrome	Disease	Orphanet:306542	Frontonasal dysplasia-severe microphthalmia-severe facial clefting syndrome	Disease
frontotemporaldementia	HP:0002145	Frontotemporal dementia	Phenotype	MONDO:0017276	frontotemporal dementia	Disease
furin(human)	PR:P09958	furin (human)	Other	gene:symbol:report?hgnc:id=8568	FURIN (human)	Other
generalizedepilepsywithfebrileseizuresplus	MONDO:0018214	generalized epilepsy with febrile seizures plus	Disease	Orphanet:36387	Generalized epilepsy with febrile seizures-plus	Disease
generalizedlipodystrophy	HP:0009064	Generalized lipodystrophy	Phenotype	MONDO:0027766	generalized lipodystrophy	Disease
gingivitis	HP:0000230	Gingivitis	Phenotype	MONDO:0002508	gingivitis	Disease
globaldevelopmentaldelaylungcystsovergrowthwilmstumorsyndrome	MONDO:0018445	global developmental delay - lung cysts - overgrowth - Wilms tumor syndrome	Disease	Orphanet:404476	Global developmental delay-lung cysts-overgrowth-Wilms tumor syndrome	Disease
