ID	Label
ID	A rdfs:label
CL:0000037	hematopoietic stem cell
CL:0000041	mature eosinophil
CL:0000049	common myeloid progenitor
CL:0000050	megakaryocyte-erythroid progenitor cell
CL:0000051	common lymphoid progenitor
CL:0000096	mature neutrophil
CL:0000235	macrophage
CL:0000557	granulocyte monocyte progenitor cell
CL:0000582	neutrophilic metamyelocyte
CL:0000624	CD4-positive, alpha-beta T cell
CL:0000625	CD8-positive, alpha-beta T cell
CL:0000765	erythroblast
CL:0000786	plasma cell
CL:0000787	memory B cell
CL:0000810	CD4-positive, alpha-beta thymocyte
CL:0000811	CD8-positive, alpha-beta thymocyte
CL:0000815	regulatory T cell
CL:0000837	hematopoietic multipotent progenitor cell
CL:0000863	inflammatory macrophage
CL:0000890	alternatively activated macrophage
CL:0000904	central memory CD4-positive, alpha-beta T cell
CL:0000905	effector memory CD4-positive, alpha-beta T cell
CL:0000907	central memory CD8-positive, alpha-beta T cell
CL:0000913	effector memory CD8-positive, alpha-beta T cell
CL:0000939	cytotoxic CD56-dim natural killer cell
CL:0000972	class switched memory B cell
CL:0000990	conventional dendritic cell
CL:0002026	CD34-negative, CD41-positive, CD42-positive megakaryocyte cell
CL:0002057	CD14-positive, CD16-negative classical monocyte
CL:0002102	CD38-negative naive B cell
CL:0002618	endothelial cell of umbilical vein (proliferating)
CL:0002618	endothelial cell of umbilical vein (resting)